pool	type	individual_id
YS-HSLT-2-S	Spleen	YS-HSLT-2
YS-HSLT-3-B	Brain	YS-HSLT-3
YS-HSLT-3-G	Gill	YS-HSLT-3
YS-HSLT-3-H	Liver	YS-HSLT-3
YS-HSLT-3-I	Intestine	YS-HSLT-3
YS-HSLT-3-K	Kidney	YS-HSLT-3
YS-HSLT-3-M	Muscles	YS-HSLT-3
YS-HSLT-3-P	Skin	YS-HSLT-3
YS-HSLT-3-S	Spleen	YS-HSLT-3
YS-JSXSD-1-B	Brain	YS-JSXSD-1
YS-JSXSD-1-G	Gill	YS-JSXSD-1
YS-JSXSD-1-H	Liver	YS-JSXSD-1
YS-JSXSD-1-I	Intestine	YS-JSXSD-1
YS-JSXSD-1-K	Kidney	YS-JSXSD-1
YS-JSXSD-1-M	Muscles	YS-JSXSD-1
YS-JSXSD-1-P	Skin	YS-JSXSD-1
YS-JSXSD-1-S	Spleen	YS-JSXSD-1
YS-JSXSD-2-B	Brain	YS-JSXSD-2
YS-JSXSD-2-G	Gill	YS-JSXSD-2
YS-JSXSD-2-H	Liver	YS-JSXSD-2
YS-JSXSD-2-I	Intestine	YS-JSXSD-2
YS-JSXSD-2-K	Kidney	YS-JSXSD-2
YS-JSXSD-2-M	Muscles	YS-JSXSD-2
YS-JSXSD-2-P	Skin	YS-JSXSD-2
YS-JSXSD-2-S	Spleen	YS-JSXSD-2
YS-JSXSD-3-B	Brain	YS-JSXSD-3
YS-JSXSD-3-G	Gill	YS-JSXSD-3
YS-JSXSD-3-H	Liver	YS-JSXSD-3
YS-JSXSD-3-I	Intestine	YS-JSXSD-3
YS-JSXSD-3-K	Kidney	YS-JSXSD-3
YS-JSXSD-3-M	Muscles	YS-JSXSD-3
YS-JSXSD-3-P	Skin	YS-JSXSD-3
YS-JSXSD-3-S	Spleen	YS-JSXSD-3
YS-JTZCS-1-B	Brain	YS-JTZCS-1
YS-JTZCS-1-G	Gill	YS-JTZCS-1
YS-JTZCS-1-H	Liver	YS-JTZCS-1
YS-JTZCS-1-I	Intestine	YS-JTZCS-1
YS-JTZCS-1-K	Kidney	YS-JTZCS-1
YS-JTZCS-1-M	Muscles	YS-JTZCS-1
YS-JTZCS-1-P	Skin	YS-JTZCS-1
YS-JTZCS-1-S	Spleen	YS-JTZCS-1
YS-JXY-1-B	Brain	YS-JXY-1
YS-JXY-1-G	Gill	YS-JXY-1
YS-JXY-1-H	Liver	YS-JXY-1
YS-JXY-1-I	Intestine	YS-JXY-1
YS-JXY-1-K	Kidney	YS-JXY-1
YS-JXY-1-M	Muscles	YS-JXY-1
