individual_id	organ_code	tissue	lib_index
YS-HBSZ-3	M	Muscles	YS-HBSZ-3-M
YS-HBSZ-3	P	Skin	YS-HBSZ-3-P
YS-HBSZ-3	S	Spleen	YS-HBSZ-3-S
YS-HJ-1	B	Brain	YS-HJ-1-B
YS-HJ-1	G	Gill	YS-HJ-1-G
YS-HJ-1	H	Liver	YS-HJ-1-H
YS-HJ-1	I	Intestine	YS-HJ-1-I
YS-HJ-1	K	Kidney	YS-HJ-1-K
YS-HJ-1	M	Muscles	YS-HJ-1-M
YS-HJ-1	P	Skin	YS-HJ-1-P
YS-HJ-1	S	Spleen	YS-HJ-1-S
YS-HJ-2	B	Brain	YS-HJ-2-B
YS-HJ-2	G	Gill	YS-HJ-2-G
YS-HJ-2	H	Liver	YS-HJ-2-H
YS-HJ-2	I	Intestine	YS-HJ-2-I
YS-HJ-2	K	Kidney	YS-HJ-2-K
YS-HJ-2	M	Muscles	YS-HJ-2-M
YS-HJ-2	P	Skin	YS-HJ-2-P
YS-HJ-2	S	Spleen	YS-HJ-2-S
YS-HJ-3	B	Brain	YS-HJ-3-B
YS-HJ-3	G	Gill	YS-HJ-3-G
YS-HJ-3	H	Liver	YS-HJ-3-H
YS-HJ-3	I	Intestine	YS-HJ-3-I
YS-HJ-3	K	Kidney	YS-HJ-3-K
YS-HJ-3	M	Muscles	YS-HJ-3-M
YS-HJ-3	P	Skin	YS-HJ-3-P
YS-HJ-3	S	Spleen	YS-HJ-3-S
YS-HJ-4	B	Brain	YS-HJ-4-B
YS-HJ-4	G	Gill	YS-HJ-4-G
YS-HJ-4	H	Liver	YS-HJ-4-H
YS-HJ-4	I	Intestine	YS-HJ-4-I
YS-HJ-4	K	Kidney	YS-HJ-4-K
YS-HJ-4	M	Muscles	YS-HJ-4-M
YS-HJ-4	P	Skin	YS-HJ-4-P
YS-HJ-4	S	Spleen	YS-HJ-4-S
YS-HJ-5	B	Brain	YS-HJ-5-B
YS-HJ-5	G	Gill	YS-HJ-5-G
YS-HJ-5	H	Liver	YS-HJ-5-H
YS-HJ-5	I	Intestine	YS-HJ-5-I
YS-HJ-5	K	Kidney	YS-HJ-5-K
YS-HJ-5	M	Muscles	YS-HJ-5-M
YS-HJ-5	P	Skin	YS-HJ-5-P
YS-HJ-5	S	Spleen	YS-HJ-5-S
YS-HJ-6	B	Brain	YS-HJ-6-B
YS-HJ-6	G	Gill	YS-HJ-6-G
YS-HJ-6	H	Liver	YS-HJ-6-H
YS-HJ-6	I	Intestine	YS-HJ-6-I
YS-HJ-6	K	Kidney	YS-HJ-6-K
YS-HJ-6	M	Muscles	YS-HJ-6-M
YS-HJ-6	P	Skin	YS-HJ-6-P
YS-HJ-6	S	Spleen	YS-HJ-6-S
YS-HKL-1	B	Brain	YS-HKL-1-B
YS-HKL-1	G	Gill	YS-HKL-1-G
YS-HKL-1	H	Liver	YS-HKL-1-H
YS-HKL-1	I	Intestine	YS-HKL-1-I
YS-HKL-1	K	Kidney	YS-HKL-1-K
YS-HKL-1	M	Muscles	YS-HKL-1-M
YS-HKL-1	P	Skin	YS-HKL-1-P
YS-HKL-1	S	Spleen	YS-HKL-1-S
YS-HKL-2	B	Brain	YS-HKL-2-B
YS-HKL-2	G	Gill	YS-HKL-2-G
YS-HKL-2	H	Liver	YS-HKL-2-H
YS-HKL-2	I	Intestine	YS-HKL-2-I
YS-HKL-2	K	Kidney	YS-HKL-2-K
YS-HKL-2	M	Muscles	YS-HKL-2-M
YS-HKL-2	P	Skin	YS-HKL-2-P
YS-HKL-2	S	Spleen	YS-HKL-2-S
YS-HKL-3	B	Brain	YS-HKL-3-B
YS-HKL-3	G	Gill	YS-HKL-3-G
YS-HKL-3	H	Liver	YS-HKL-3-H
