lib_id	count
YS-PSJGY-1-S	1
YS-PSJGY-2-B	0
YS-PSJGY-2-G	0
YS-PSJGY-2-H	0
YS-PSJGY-2-I	0
YS-PSJGY-2-K	0
YS-PSJGY-2-M	0
YS-PSJGY-2-P	0
YS-PSJGY-2-S	0
YS-PSJGY-3-B	0
YS-PSJGY-3-G	0
YS-PSJGY-3-H	0
YS-PSJGY-3-I	0
YS-PSJGY-3-K	0
YS-PSJGY-3-M	0
YS-PSJGY-3-P	0
YS-PSJGY-3-S	0
YS-QLXSD-1-B	0
YS-QLXSD-1-G	0
YS-QLXSD-1-H	0
YS-QLXSD-1-I	1
YS-QLXSD-1-K	0
YS-QLXSD-1-M	0
YS-QLXSD-1-P	0
YS-QLXSD-1-S	0
YS-QLXSD-2-B	0
YS-QLXSD-2-G	0
YS-QLXSD-2-H	0
YS-QLXSD-2-I	0
YS-QLXSD-2-K	0
YS-QLXSD-2-M	0
YS-QLXSD-2-P	0
YS-QLXSD-2-S	0
YS-QLXSD-3-B	0
YS-QLXSD-3-G	0
YS-QLXSD-3-H	0
YS-QLXSD-3-I	1
YS-QLXSD-3-K	0
YS-QLXSD-3-M	0
YS-QLXSD-3-P	0
YS-QLXSD-3-S	0
YS-QXDDY-1-B	0
YS-QXDDY-1-G	0
YS-QXDDY-1-H	0
YS-QXDDY-1-I	1
YS-QXDDY-1-K	0
YS-QXDDY-1-M	0
YS-QXDDY-1-P	0
YS-QXDDY-1-S	1
YS-QXDDY-2-B	0
YS-QXDDY-2-G	0
YS-QXDDY-2-H	0
YS-QXDDY-2-I	5
YS-QXDDY-2-K	0
YS-QXDDY-2-M	0
YS-QXDDY-2-P	0
YS-QXDDY-2-S	0
YS-QXDDY-3-B	1
YS-QXDDY-3-G	2
YS-QXDDY-3-H	1
YS-QXDDY-3-I	0
YS-QXDDY-3-K	1
YS-QXDDY-3-M	2
YS-QXDDY-3-P	1
YS-QXDDY-3-S	3
YS-RBJXY-1-B	0
YS-RBJXY-1-G	0
YS-RBJXY-1-H	0
YS-RBJXY-1-I	1
YS-RBJXY-1-K	0
YS-RBJXY-1-M	0
YS-RBJXY-1-P	0
YS-RBJXY-1-S	0
YS-RBJXY-2-B	0
YS-RBJXY-2-G	0
YS-RBJXY-2-H	0
YS-RBJXY-2-I	0
YS-RBJXY-2-K	0
YS-RBJXY-2-M	0
YS-RBJXY-2-P	0
YS-RBJXY-2-S	0
YS-RBJXY-3-B	0
YS-RBJXY-3-G	0
YS-RBJXY-3-H	0
YS-RBJXY-3-I	0
YS-RBJXY-3-K	0
YS-RBJXY-3-M	0
YS-RBJXY-3-P	0
YS-RBJXY-3-S	0
YS-RWXLT-1-B	0
YS-RWXLT-1-G	1
YS-RWXLT-1-H	0
YS-RWXLT-1-I	1
YS-RWXLT-1-K	0
YS-RWXLT-1-M	0
YS-RWXLT-1-P	5
YS-RWXLT-1-S	3
YS-RWXLT-2-B	1
YS-RWXLT-2-G	0
YS-RWXLT-2-H	0
YS-RWXLT-2-I	3
YS-RWXLT-2-K	0
YS-RWXLT-2-M	0
YS-RWXLT-2-P	2
YS-RWXLT-2-S	2
YS-RWXLT-3-B	0
YS-RWXLT-3-G	0
YS-RWXLT-3-H	0
YS-RWXLT-3-I	4
YS-RWXLT-3-K	0
YS-RWXLT-3-M	0
YS-RWXLT-3-P	0
YS-RWXLT-3-S	1
YS-SDYY-1-B	0
YS-SDYY-1-G	1
YS-SDYY-1-H	0
YS-SDYY-1-I	3
YS-SDYY-1-K	1
YS-SDYY-1-M	0
YS-SDYY-1-P	0
YS-SDYY-1-S	1
YS-SDYY-2-B	0
YS-SDYY-2-G	0
YS-SDYY-2-H	0
YS-SDYY-2-I	2
YS-SDYY-2-K	0
YS-SDYY-2-M	0
YS-SDYY-2-P	0
YS-SDYY-2-S	0
YS-SDYY-3-B	0
YS-SDYY-3-G	0
YS-SDYY-3-H	0
YS-SDYY-3-I	0
YS-SDYY-3-K	0
YS-SDYY-3-M	0
YS-SDYY-3-P	0
YS-SDYY-3-S	0
YS-SLS-2-B	0
YS-SLS-2-G	0
YS-SLS-2-H	0
YS-SLS-2-I	0
YS-SLS-2-K	0
YS-SLS-2-M	0
YS-SLS-2-P	0
YS-SLS-2-S	0
YS-SLS-3-B	0
YS-SLS-3-G	0
YS-SLS-3-H	0
YS-SLS-3-I	0
YS-SLS-3-K	0
YS-SLS-3-M	0
YS-SLS-3-P	0
YS-SLS-3-S	0
YS-SQHN-1-B	0
YS-SQHN-1-G	1
YS-SQHN-1-H	1
YS-SQHN-1-I	1
YS-SQHN-1-K	0
YS-SQHN-1-M	0
YS-SQHN-1-P	1
YS-SQHN-1-S	0
YS-SQHN-2-B	1
YS-SQHN-2-G	0
YS-SQHN-2-H	1
YS-SQHN-2-I	1
YS-SQHN-2-K	1
YS-SQHN-2-M	1
YS-SQHN-2-P	0
YS-SQHN-2-S	1
YS-SQHN-3-B	0
YS-SQHN-3-G	0
YS-SQHN-3-H	0
YS-SQHN-3-I	0
YS-SQHN-3-K	0
YS-SQHN-3-M	0
YS-SQHN-3-P	0
YS-SQHN-3-S	0
YS-SZMB-1-B	0
YS-SZMB-1-G	1
YS-SZMB-1-H	0
YS-SZMB-1-I	3
YS-SZMB-1-K	1
YS-SZMB-1-M	0
YS-SZMB-1-P	0
YS-SZMB-1-S	1
YS-Y-1-B	1
YS-Y-1-G	0
YS-Y-1-H	0
YS-Y-1-I	0
YS-Y-1-K	0
YS-Y-1-M	0
YS-Y-1-P	0
YS-Y-1-S	0
YS-Y-2-B	0
YS-Y-2-G	0
YS-Y-2-H	2
YS-Y-2-I	0
YS-Y-2-K	0
YS-Y-2-M	1
YS-Y-2-P	0
YS-Y-2-S	1
YS-YC-3-B	0
YS-YC-3-G	0
YS-YC-3-H	0
YS-YC-3-I	0
YS-YC-3-K	0
YS-YC-3-M	0
YS-YC-3-P	0
YS-YC-3-S	0
YS-Z-1-B	0
YS-Z-1-G	0
YS-Z-1-H	0
YS-Z-1-I	0
YS-Z-1-K	0
YS-Z-1-M	0
YS-Z-1-P	1
YS-Z-1-S	0
YS-Z-2-B	0
YS-Z-2-G	0
YS-Z-2-H	0
YS-Z-2-I	0
YS-Z-2-K	0
YS-Z-2-M	1
YS-Z-2-P	0
YS-Z-2-S	0
YS-Z-3-B	0
YS-Z-3-G	0
YS-Z-3-H	0
YS-Z-3-I	0
YS-Z-3-K	0
YS-Z-3-M	0
YS-Z-3-P	0
YS-Z-3-S	0
YS-ZBTTT-1-B	0
YS-ZBTTT-1-G	0
YS-ZBTTT-1-H	0
YS-ZBTTT-1-I	2
YS-ZBTTT-1-K	0
YS-ZBTTT-1-M	0
YS-ZBTTT-1-P	1
YS-ZBTTT-1-S	1
YS-ZBTTT-2-B	0
YS-ZBTTT-2-G	0
YS-ZBTTT-2-H	0
YS-ZBTTT-2-I	0
YS-ZBTTT-2-K	0
YS-ZBTTT-2-M	0
YS-ZBTTT-2-P	0
YS-ZBTTT-2-S	0
YS-ZBTTT-3-B	0
YS-ZBTTT-3-G	0
YS-ZBTTT-3-H	0
YS-ZBTTT-3-I	3
YS-ZBTTT-3-K	1
YS-ZBTTT-3-M	0
YS-ZBTTT-3-P	0
YS-ZBTTT-3-S	0
YS-ZY-1-B	0
YS-ZY-1-G	0
YS-ZY-1-H	0
YS-ZY-1-I	0
YS-ZY-1-K	0
YS-ZY-1-M	0
YS-ZY-1-P	0
YS-ZY-1-S	0
