"pathogen_1","pathogen_2","infected_hosts_1","infected_hosts_2","co_infected_hosts","expected_co_infected_hosts","phi_coefficient","odds_ratio","fisher_p","fisher_BH_q","significant_positive_BH"
"Nanhai reo-like virus 5","Aliivibrio fischeri",5,5,1,0.223214285714286,0.162616822429907,6.21398764733421,0.207561502286273,1,FALSE
"Nanhai reo-like virus 6","Aliivibrio fischeri",5,5,1,0.223214285714286,0.162616822429907,6.21398764733421,0.207561502286273,1,FALSE
"Photobacterium sp.","Taeniidae sp. QLXSDD",8,4,1,0.285714285714286,0.133440128170906,4.68831741384269,0.259658789016587,1,FALSE
"Paramonacanthus sulcatus filovirus","Toxocara sp. CTSZ",2,19,1,0.339285714285714,0.118686713612198,5.00190091324026,0.311776061776062,1,FALSE
"Nanhai reo-like virus 2","Toxocara sp. CTSZ",2,19,1,0.339285714285714,0.118686713612198,5.00190091324026,0.311776061776062,1,FALSE
"Photobacterium sp. QLXSD","Toxocara sp. CTSZ",2,19,1,0.339285714285714,0.118686713612198,5.00190091324026,0.311776061776062,1,FALSE
"Toxocara sp. CTSZ","Caligus sp. RWXLT",19,2,1,0.339285714285714,0.118686713612198,5.00190091324026,0.311776061776062,1,FALSE
"Nanhai reo-like virus 5","Vibrio ponticus",5,8,1,0.357142857142857,0.107918013452834,3.50624217748889,0.314498878719062,1,FALSE
"Nanhai reo-like virus 6","Vibrio ponticus",5,8,1,0.357142857142857,0.107918013452834,3.50624217748889,0.314498878719062,1,FALSE
"Photobacterium damselae","Toxocara sp. CTSZ",3,19,1,0.508928571428571,0.0723553316338375,2.5007743596301,0.430651105651106,1,FALSE
"Toxocara sp. CTSZ","Hydatigera sp. SDYY",19,3,1,0.508928571428571,0.0723553316338375,2.5007743596301,0.430651105651106,1,FALSE
"Toxocara sp. CTSZ","Taeniidae sp. QLXSDD",19,4,1,0.678571428571429,0.0412042821715165,1.65785651458827,0.529895408335775,1,FALSE
"Vibrio ponticus","Toxocara sp. CTSZ",8,19,1,1.35714285714286,-0.032989828164944,0.684629345468628,0.78581839028292,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Nanhai hepadna-like virus 1",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Nanhai circo-like virus 2",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Nanhai parvovirus LTY1",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Marble sleepy goby iridovirus",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Nanhai papillomavirus ZBTTT",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Nanhai papillomavirus HM",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Nanhai retrovirus 1",1,3,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Nanhai retrovirus 2",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Wenzhou pacific spadenose shark astrovirus 2",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Nanhai astrovirus LZMB",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Odontamblyopus rubicundus hepacivirus",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Johnius belangerii hepacivirus",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Telatrygon zugei hepacivirus",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Bombay duck fish bornavirus",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Paramonacanthus sulcatus filovirus",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Nanhai filovirus 2",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Nanhai filovirus 3",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Nanhai rhabdovirus 1",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Nanhai paramyxovirus 1",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Nanhai paramyxovirus 2",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Psenopsis anomala artervirus",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Nanhai amnoonvirus 1",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Arius arius calicivirus",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Psenopsis anomala picornavirus",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Leiognathus ruconius picornavirus",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Polydactylus sextarius picornavirus",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Bregmaceros mcclellandi picornavirus",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Osteomugil cunnesius hepadna-like virus","Gymnothorax reevesii picornavirus",1,4,0,0.0357142857142857,-0.0182665541450397,0,1,1,FALSE
