"Pathogen","Pathogen taxa","Classification","Category","Tissue","Positive_libraries","Detected"
"Nanhai reo-like virus 6","Reo","RNA virus","RNA","Brain",0,FALSE
"Nanhai reo-like virus 7","Reo","RNA virus","RNA","Intestine",1,TRUE
"Nanhai reo-like virus 7","Reo","RNA virus","RNA","Spleen",2,TRUE
"Nanhai reo-like virus 7","Reo","RNA virus","RNA","Kidney",2,TRUE
"Nanhai reo-like virus 7","Reo","RNA virus","RNA","Skin",2,TRUE
"Nanhai reo-like virus 7","Reo","RNA virus","RNA","Gill",1,TRUE
"Nanhai reo-like virus 7","Reo","RNA virus","RNA","Liver",1,TRUE
"Nanhai reo-like virus 7","Reo","RNA virus","RNA","Muscles",2,TRUE
"Nanhai reo-like virus 7","Reo","RNA virus","RNA","Brain",1,TRUE
"Asian seabass Nervous Necrosis Virus","Tombus-Noda","RNA virus","RNA","Intestine",0,FALSE
"Asian seabass Nervous Necrosis Virus","Tombus-Noda","RNA virus","RNA","Spleen",0,FALSE
"Asian seabass Nervous Necrosis Virus","Tombus-Noda","RNA virus","RNA","Kidney",0,FALSE
"Asian seabass Nervous Necrosis Virus","Tombus-Noda","RNA virus","RNA","Skin",2,TRUE
"Asian seabass Nervous Necrosis Virus","Tombus-Noda","RNA virus","RNA","Gill",0,FALSE
"Asian seabass Nervous Necrosis Virus","Tombus-Noda","RNA virus","RNA","Liver",0,FALSE
"Asian seabass Nervous Necrosis Virus","Tombus-Noda","RNA virus","RNA","Muscles",0,FALSE
"Asian seabass Nervous Necrosis Virus","Tombus-Noda","RNA virus","RNA","Brain",1,TRUE
"Nanhai retrovirus 1","Ortervirales","RNA virus","RNA","Intestine",3,TRUE
"Nanhai retrovirus 1","Ortervirales","RNA virus","RNA","Spleen",2,TRUE
"Nanhai retrovirus 1","Ortervirales","RNA virus","RNA","Kidney",2,TRUE
"Nanhai retrovirus 1","Ortervirales","RNA virus","RNA","Skin",3,TRUE
"Nanhai retrovirus 1","Ortervirales","RNA virus","RNA","Gill",3,TRUE
"Nanhai retrovirus 1","Ortervirales","RNA virus","RNA","Liver",3,TRUE
"Nanhai retrovirus 1","Ortervirales","RNA virus","RNA","Muscles",2,TRUE
"Nanhai retrovirus 1","Ortervirales","RNA virus","RNA","Brain",3,TRUE
"Nanhai retrovirus 2","Ortervirales","RNA virus","RNA","Intestine",1,TRUE
"Nanhai retrovirus 2","Ortervirales","RNA virus","RNA","Spleen",1,TRUE
"Nanhai retrovirus 2","Ortervirales","RNA virus","RNA","Kidney",1,TRUE
"Nanhai retrovirus 2","Ortervirales","RNA virus","RNA","Skin",1,TRUE
"Nanhai retrovirus 2","Ortervirales","RNA virus","RNA","Gill",1,TRUE
"Nanhai retrovirus 2","Ortervirales","RNA virus","RNA","Liver",1,TRUE
"Nanhai retrovirus 2","Ortervirales","RNA virus","RNA","Muscles",1,TRUE
"Nanhai retrovirus 2","Ortervirales","RNA virus","RNA","Brain",1,TRUE
"Osteomugil cunnesius hepadna-like virus","Blubervirales","DNA virus","DNA","Intestine",0,FALSE
"Osteomugil cunnesius hepadna-like virus","Blubervirales","DNA virus","DNA","Spleen",0,FALSE
"Osteomugil cunnesius hepadna-like virus","Blubervirales","DNA virus","DNA","Kidney",0,FALSE
"Osteomugil cunnesius hepadna-like virus","Blubervirales","DNA virus","DNA","Skin",1,TRUE
"Osteomugil cunnesius hepadna-like virus","Blubervirales","DNA virus","DNA","Gill",0,FALSE
"Osteomugil cunnesius hepadna-like virus","Blubervirales","DNA virus","DNA","Liver",0,FALSE
"Osteomugil cunnesius hepadna-like virus","Blubervirales","DNA virus","DNA","Muscles",0,FALSE
"Osteomugil cunnesius hepadna-like virus","Blubervirales","DNA virus","DNA","Brain",0,FALSE
"Nanhai hepadna-like virus 1","Blubervirales","DNA virus","DNA","Intestine",0,FALSE
"Nanhai hepadna-like virus 1","Blubervirales","DNA virus","DNA","Spleen",0,FALSE
"Nanhai hepadna-like virus 1","Blubervirales","DNA virus","DNA","Kidney",0,FALSE
"Nanhai hepadna-like virus 1","Blubervirales","DNA virus","DNA","Skin",1,TRUE
"Nanhai hepadna-like virus 1","Blubervirales","DNA virus","DNA","Gill",0,FALSE
"Nanhai hepadna-like virus 1","Blubervirales","DNA virus","DNA","Liver",0,FALSE
"Nanhai hepadna-like virus 1","Blubervirales","DNA virus","DNA","Muscles",0,FALSE
"Nanhai hepadna-like virus 1","Blubervirales","DNA virus","DNA","Brain",0,FALSE
"Nanhai circo-like virus 2","Cirlivirales","DNA virus","DNA","Intestine",1,TRUE
"Nanhai circo-like virus 2","Cirlivirales","DNA virus","DNA","Spleen",1,TRUE
"Nanhai circo-like virus 2","Cirlivirales","DNA virus","DNA","Kidney",1,TRUE
"Nanhai circo-like virus 2","Cirlivirales","DNA virus","DNA","Skin",1,TRUE
"Nanhai circo-like virus 2","Cirlivirales","DNA virus","DNA","Gill",1,TRUE
"Nanhai circo-like virus 2","Cirlivirales","DNA virus","DNA","Liver",0,FALSE
"Nanhai circo-like virus 2","Cirlivirales","DNA virus","DNA","Muscles",0,FALSE
"Nanhai circo-like virus 2","Cirlivirales","DNA virus","DNA","Brain",1,TRUE
"Cynoglossus gracilis herpes-like virus","Herpesvirales","DNA virus","DNA","Intestine",0,FALSE
"Cynoglossus gracilis herpes-like virus","Herpesvirales","DNA virus","DNA","Spleen",0,FALSE
"Cynoglossus gracilis herpes-like virus","Herpesvirales","DNA virus","DNA","Kidney",0,FALSE
"Cynoglossus gracilis herpes-like virus","Herpesvirales","DNA virus","DNA","Skin",0,FALSE
"Cynoglossus gracilis herpes-like virus","Herpesvirales","DNA virus","DNA","Gill",0,FALSE
"Cynoglossus gracilis herpes-like virus","Herpesvirales","DNA virus","DNA","Liver",0,FALSE
"Cynoglossus gracilis herpes-like virus","Herpesvirales","DNA virus","DNA","Muscles",0,FALSE
"Cynoglossus gracilis herpes-like virus","Herpesvirales","DNA virus","DNA","Brain",0,FALSE
"Nanhai parvovirus LTY1","Piccovirales","DNA virus","DNA","Intestine",1,TRUE
"Nanhai parvovirus LTY1","Piccovirales","DNA virus","DNA","Spleen",0,FALSE
"Nanhai parvovirus LTY1","Piccovirales","DNA virus","DNA","Kidney",1,TRUE
"Nanhai parvovirus LTY1","Piccovirales","DNA virus","DNA","Skin",0,FALSE
"Nanhai parvovirus LTY1","Piccovirales","DNA virus","DNA","Gill",1,TRUE
"Nanhai parvovirus LTY1","Piccovirales","DNA virus","DNA","Liver",0,FALSE
"Nanhai parvovirus LTY1","Piccovirales","DNA virus","DNA","Muscles",0,FALSE
"Nanhai parvovirus LTY1","Piccovirales","DNA virus","DNA","Brain",0,FALSE
