"lib_index","abundance_RPM","individual_id","tissue_types","log10_RPM_plus_1"
"YS-Y-2-S",3.61101035,"YS-Y-2","Spleen",0.663796097049779
"YS-YC-3-S",0,"YS-YC-3","Spleen",0
"YS-Z-1-S",0,"YS-Z-1","Spleen",0
"YS-Z-2-S",0,"YS-Z-2","Spleen",0
"YS-Z-3-S",0,"YS-Z-3","Spleen",0
"YS-ZBTTT-1-S",1.503220441,"YS-ZBTTT-1","Spleen",0.398499096549634
"YS-ZBTTT-2-S",0,"YS-ZBTTT-2","Spleen",0
"YS-ZBTTT-3-S",0,"YS-ZBTTT-3","Spleen",0
"YS-ZY-1-S",0,"YS-ZY-1","Spleen",0
"YS-BGY-1-P",0,"YS-BGY-1","Skin",0
"YS-BGY-2-P",0,"YS-BGY-2","Skin",0
"YS-BGY-3-P",0,"YS-BGY-3","Skin",0
"YS-BJ-1-P",0,"YS-BJ-1","Skin",0
"YS-BJ-2-P",0,"YS-BJ-2","Skin",0
"YS-BJ-3-P",0,"YS-BJ-3","Skin",0
"YS-CBLT-1-P",0,"YS-CBLT-1","Skin",0
"YS-CBLT-2-P",0,"YS-CBLT-2","Skin",0
"YS-CBLT-3-P",0,"YS-CBLT-3","Skin",0
"YS-CC-1-P",1.536404091,"YS-CC-1","Skin",0.404218444994853
"YS-CC-2-P",0,"YS-CC-2","Skin",0
"YS-CC-3-P",0,"YS-CC-3","Skin",0
"YS-CHLT-1-P",0,"YS-CHLT-1","Skin",0
"YS-CHLT-2-P",0,"YS-CHLT-2","Skin",0
"YS-CHLT-3-P",0,"YS-CHLT-3","Skin",0
"YS-CTSZ-1-P",0,"YS-CTSZ-1","Skin",0
"YS-CTSZ-2-P",1.376623667,"YS-CTSZ-2","Skin",0.375960417620187
"YS-CTSZ-3-P",9.469024518,"YS-CTSZ-3","Skin",1.01990621690459
"YS-DHY-1-P",0,"YS-DHY-1","Skin",0
"YS-DHY-2-P",0,"YS-DHY-2","Skin",0
"YS-DLLY-1-P",0,"YS-DLLY-1","Skin",0
"YS-DSLT-1-P",0,"YS-DSLT-1","Skin",0
"YS-DSLT-2-P",10.3798193086293,"YS-DSLT-2","Skin",1.0561353662868
"YS-DSLT-3-P",1.608124087,"YS-DSLT-3","Skin",0.416328250026671
"YS-DZTT-1-P",9.478248646,"YS-DZTT-1","Skin",1.02028869992454
"YS-HBSZ-1-P",0,"YS-HBSZ-1","Skin",0
"YS-HBSZ-2-P",0,"YS-HBSZ-2","Skin",0
"YS-HBSZ-3-P",0,"YS-HBSZ-3","Skin",0
"YS-HJ-1-P",0,"YS-HJ-1","Skin",0
"YS-HJ-2-P",0,"YS-HJ-2","Skin",0
"YS-HJ-3-P",1.831828347,"YS-HJ-3","Skin",0.452066924791022
"YS-HJ-4-P",0,"YS-HJ-4","Skin",0
"YS-HJ-5-P",0,"YS-HJ-5","Skin",0
"YS-HJ-6-P",0,"YS-HJ-6","Skin",0
"YS-HKL-1-P",3.55145286010277,"YS-HKL-1","Skin",0.658150049054849
"YS-HKL-2-P",0,"YS-HKL-2","Skin",0
"YS-HKL-3-P",0,"YS-HKL-3","Skin",0
"YS-HM-1-P",12.33742605,"YS-HM-1","Skin",1.12507202447257
"YS-HM-2-P",110.6488752,"YS-HM-2","Skin",2.04785435215538
"YS-HM-3-P",78.34476608,"YS-HM-3","Skin",1.89951828411489
"YS-HM-4-P",475.3409586,"YS-HM-4","Skin",2.67791792631357
"YS-HSLT-1-P",9.516818808,"YS-HSLT-1","Skin",1.02188439161773
"YS-HSLT-2-P",0,"YS-HSLT-2","Skin",0
"YS-HSLT-3-P",4.609350883,"YS-HSLT-3","Skin",0.748912607380609
"YS-JSXSD-1-P",1.382806351,"YS-JSXSD-1","Skin",0.377088748972795
"YS-JSXSD-2-P",32.98062671,"YS-JSXSD-2","Skin",1.53123138436778
"YS-JSXSD-3-P",1.097242994,"YS-JSXSD-3","Skin",0.32164875227722
"YS-JTZCS-1-P",1.101964891,"YS-JTZCS-1","Skin",0.322625457756779
"YS-JXY-1-P",0,"YS-JXY-1","Skin",0
"YS-JXY-2-P",0,"YS-JXY-2","Skin",0
"YS-JXY-3-P",0,"YS-JXY-3","Skin",0
"YS-JZH-1-P",0,"YS-JZH-1","Skin",0
"YS-JZH-2-P",0,"YS-JZH-2","Skin",0
"YS-JZH-3-P",0,"YS-JZH-3","Skin",0
"YS-KSCDXGY-1-P",0,"YS-KSCDXGY-1","Skin",0
"YS-KSCDXGY-2-P",0,"YS-KSCDXGY-2","Skin",0
"YS-KSCDXGY-3-P",0,"YS-KSCDXGY-3","Skin",0
"YS-LBYKF-1-P",0,"YS-LBYKF-1","Skin",0
"YS-LBYKF-2-P",0,"YS-LBYKF-2","Skin",0
"YS-LBYKF-3-P",0,"YS-LBYKF-3","Skin",0
"YS-LTY-1-P",1205.122765,"YS-LTY-1","Skin",3.08139151464376
"YS-LTY-2-P",0,"YS-LTY-2","Skin",0
"YS-LTY-3-P",146.3999997,"YS-LTY-3","Skin",2.16849748263912
"YS-LY-2-P",0,"YS-LY-2","Skin",0
"YS-LY-3-P",0,"YS-LY-3","Skin",0
"YS-LYS-3-P",0,"YS-LYS-3","Skin",0
"YS-LYXHY-1-P",2.709229848,"YS-LYXHY-1","Skin",0.569283745872479
"YS-LYXHY-2-P",1.066329195,"YS-LYXHY-2","Skin",0.315199511851077
"YS-LYXHY-3-P",1.077745894,"YS-LYXHY-3","Skin",0.317592432739156
"YS-LZMB-1-P",1.109710505,"YS-LZMB-1","Skin",0.324222865389292
"YS-LZMB-2-P",0,"YS-LZMB-2","Skin",0
"YS-LZMB-3-P",0,"YS-LZMB-3","Skin",0
"YS-LZY-1-P",0,"YS-LZY-1","Skin",0
"YS-LZY-2-P",0,"YS-LZY-2","Skin",0
"YS-LZY-3-P",0,"YS-LZY-3","Skin",0
"YS-MSXX-1-P",5.560979476,"YS-MSXX-1","Skin",0.816968679203133
"YS-MSXX-2-P",2.130492624,"YS-MSXX-2","Skin",0.495612684846939
"YS-MSXX-3-P",2.435612863,"YS-MSXX-3","Skin",0.53600422007908
"YS-PSJGY-1-P",1.478895527,"YS-PSJGY-1","Skin",0.394258223821675
"YS-PSJGY-2-P",0,"YS-PSJGY-2","Skin",0
"YS-PSJGY-3-P",0,"YS-PSJGY-3","Skin",0
"YS-QLXSD-1-P",0,"YS-QLXSD-1","Skin",0
"YS-QLXSD-2-P",0,"YS-QLXSD-2","Skin",0
"YS-QLXSD-3-P",0,"YS-QLXSD-3","Skin",0
"YS-QXDDY-1-P",0,"YS-QXDDY-1","Skin",0
"YS-QXDDY-2-P",0,"YS-QXDDY-2","Skin",0
"YS-QXDDY-3-P",1.762058774,"YS-QXDDY-3","Skin",0.441232915717015
"YS-RBJXY-1-P",0,"YS-RBJXY-1","Skin",0
"YS-RBJXY-2-P",0,"YS-RBJXY-2","Skin",0
"YS-RBJXY-3-P",0,"YS-RBJXY-3","Skin",0
"YS-RWXLT-1-P",17.8233001766835,"YS-RWXLT-1","Skin",1.27469576802185
"YS-RWXLT-2-P",15.7684729578147,"YS-RWXLT-2","Skin",1.22449351483085
"YS-RWXLT-3-P",0,"YS-RWXLT-3","Skin",0
"YS-SDYY-1-P",0,"YS-SDYY-1","Skin",0
"YS-SDYY-2-P",0,"YS-SDYY-2","Skin",0
"YS-SDYY-3-P",0,"YS-SDYY-3","Skin",0
"YS-SLS-2-P",0,"YS-SLS-2","Skin",0
"YS-SLS-3-P",0,"YS-SLS-3","Skin",0
"YS-SQHN-1-P",2.95064401,"YS-SQHN-1","Skin",0.59666789744706
"YS-SQHN-2-P",0,"YS-SQHN-2","Skin",0
"YS-SQHN-3-P",0,"YS-SQHN-3","Skin",0
"YS-SZMB-1-P",0,"YS-SZMB-1","Skin",0
"YS-Y-1-P",0,"YS-Y-1","Skin",0
"YS-Y-2-P",0,"YS-Y-2","Skin",0
"YS-YC-3-P",0,"YS-YC-3","Skin",0
"YS-Z-1-P",4.471772337,"YS-Z-1","Skin",0.73812801947933
"YS-Z-2-P",0,"YS-Z-2","Skin",0
"YS-Z-3-P",0,"YS-Z-3","Skin",0
"YS-ZBTTT-1-P",3.186196833,"YS-ZBTTT-1","Skin",0.621819644804395
"YS-ZBTTT-2-P",0,"YS-ZBTTT-2","Skin",0
"YS-ZBTTT-3-P",0,"YS-ZBTTT-3","Skin",0
"YS-ZY-1-P",0,"YS-ZY-1","Skin",0
"YS-BGY-1-K",1.63327076,"YS-BGY-1","Kidney",0.420495516731695
"YS-BGY-2-K",0,"YS-BGY-2","Kidney",0
"YS-BGY-3-K",0,"YS-BGY-3","Kidney",0
"YS-BJ-1-K",0,"YS-BJ-1","Kidney",0
"YS-BJ-2-K",0,"YS-BJ-2","Kidney",0
"YS-BJ-3-K",0,"YS-BJ-3","Kidney",0
"YS-CBLT-1-K",23.44087083,"YS-CBLT-1","Kidney",1.38811667579008
"YS-CBLT-2-K",0,"YS-CBLT-2","Kidney",0
"YS-CBLT-3-K",0,"YS-CBLT-3","Kidney",0
