node_id	label	node_type	node_zone	host_label	species	host_class	host_order	family	genus	classification	taxonomy	novelty	multi_tissue_distribution	connected_hosts	connected_orders	x	y	angle_degrees	radius
pathogen::Nanhai reo-like virus 7	Nanhai reo-like virus 7	Virus	outer							RNA virus	Reo	Novel	Yes	1	1	0.778542070024136	-0.812094357327111	313.791603549582	1.125
pathogen::Asian seabass Nervous Necrosis Virus	Asian seabass Nervous Necrosis Virus	Virus	inner							RNA virus	Tombus-Noda	Known	Yes	4	3	-0.578248257377376	-0.0225035520212239	182.22864178457	0.578685974439975
pathogen::Nanhai retrovirus 1	Nanhai retrovirus 1	Virus	outer							RNA virus	Ortervirales	Novel	Yes	1	1	-1.10906930456294	-0.188653856775518	189.653672515099	1.125
pathogen::Nanhai retrovirus 2	Nanhai retrovirus 2	Virus	outer							RNA virus	Ortervirales	Novel	Yes	1	1	0.927350341105535	0.636903717096586	34.4812587219959	1.125
pathogen::Osteomugil cunnesius hepadna-like virus	Osteomugil cunnesius hepadna-like virus	Virus	outer							DNA virus	Blubervirales	Novel	No	1	1	-0.36559607585341	1.06393820747287	108.964017342686	1.125
pathogen::Nanhai hepadna-like virus 1	Nanhai hepadna-like virus 1	Virus	outer							DNA virus	Blubervirales	Novel	No	1	1	-1.08577773796024	0.294468510625415	164.826086308203	1.125
pathogen::Nanhai circo-like virus 2	Nanhai circo-like virus 2	Virus	outer							DNA virus	Cirlivirales	Novel	Yes	1	1	-0.778542070024137	0.81209435732711	133.791603549582	1.125
pathogen::Cynoglossus gracilis herpes-like virus	Cynoglossus gracilis herpes-like virus	Virus	outer							DNA virus	Herpesvirales	Novel	No	1	1	-1.1236948831818	0.0541738821854718	177.239879411651	1.125
pathogen::Nanhai parvovirus LTY1	Nanhai parvovirus LTY1	Virus	outer							DNA virus	Piccovirales	Novel	Yes	1	1	-0.686175378270692	0.89150902982251	127.584706997858	1.125
pathogen::Marble sleepy goby iridovirus	Marble sleepy goby iridovirus	Virus	outer							DNA virus	Pimascovirales	Known	No	1	1	1.10906930456294	0.188653856775518	9.6536725150993	1.125
pathogen::Nanhai papillomavirus ZBTTT	Nanhai papillomavirus ZBTTT	Virus	outer							DNA virus	Zurhausenvirales	Novel	Yes	1	1	0.934916470558151	-0.625744511025938	326.20539665303	1.125
pathogen::Nanhai papillomavirus HM	Nanhai papillomavirus HM	Virus	outer							DNA virus	Zurhausenvirales	Novel	No	1	1	-0.128333377947614	1.11765627278898	96.5502242392372	1.125
pathogen::Clostridium sp. SQHN	Clostridium sp. SQHN	Bacteria	outer							Bacteria	Bacillota	Novel	No	1	1	0.128333377947613	-1.11765627278898	276.550224239237	1.125
pathogen::Clostridium sp. Y	Clostridium sp. Y	Bacteria	inner							Bacteria	Bacillota	Known	Yes	2	2	0.300250276255633	-0.585207122356361	297.160848115217	0.657736728827118
pathogen::Aliivibrio fischeri	Aliivibrio fischeri	Bacteria	inner							Bacteria	Pseudomonadota	Known	Yes	4	3	0.0337559698782471	-0.607805968637219	273.178793710198	0.608742606536991
pathogen::Photobacterium sp.	Photobacterium sp.	Bacteria	inner							Bacteria	Pseudomonadota	Novel	Yes	6	3	-0.452098962799306	-0.413699132444461	222.460484965121	0.612813547785546
pathogen::Photobacterium damselae	Photobacterium damselae	Bacteria	inner							Bacteria	Pseudomonadota	Known	Yes	3	2	0.399295291831639	-0.525512387980613	307.228328549221	0.66
pathogen::Photobacterium sp. QLXSD	Photobacterium sp. QLXSD	Bacteria	inner							Bacteria	Pseudomonadota	Known	No	2	2	-0.506310735355586	-0.309607724817915	211.445679644236	0.593470727166252
pathogen::Photobacterium swingsii	Photobacterium swingsii	Bacteria	inner							Bacteria	Pseudomonadota	Known	No	2	2	-0.313265297673645	-0.58091725165762	241.663801149226	0.66
pathogen::Vibrio sp. Y	Vibrio sp. Y	Bacteria	inner							Bacteria	Pseudomonadota	Novel	Yes	2	2	-0.169990769855549	-0.614267106570944	254.531235475174	0.637354642291967
pathogen::Vibrio ponticus	Vibrio ponticus	Bacteria	inner							Bacteria	Pseudomonadota	Known	Yes	5	4	0.161207341036946	-0.634444233541328	284.256704632666	0.654604683971972
pathogen::Acinetobacter johnsonii	Acinetobacter johnsonii	Bacteria	inner							Bacteria	Pseudomonadota	Known	No	3	2	-0.023054673495063	-0.0377166095804283	238.56420297086	0.0442047577553188
pathogen::Pseudomonas aeruginosa	Pseudomonas aeruginosa	Bacteria	outer							Bacteria	Pseudomonadota	Known	No	1	1	-0.997090832466938	0.520994118786756	152.412293204754	1.125
pathogen::Besnoitia sp. HKL	Besnoitia sp. HKL	Eukaryota	outer							Eukaryota	Apicomplexa	Novel	No	1	1	-0.927350341105535	-0.636903717096586	214.481258721996	1.125
pathogen::Cystoisospora_sp._DSLT-2	Cystoisospora_sp._DSLT-2	Eukaryota	outer							Eukaryota	Apicomplexa	Novel	No	1	1	-0.853052768950013	-0.733434368833856	220.68815527372	1.125
pathogen::Cystoisospora sp. DSLT-4	Cystoisospora sp. DSLT-4	Eukaryota	outer							Eukaryota	Apicomplexa	Novel	No	1	1	-0.466248626598212	-1.02383456583341	245.515741480617	1.125
pathogen::Sarcocystidae sp. SZMB	Sarcocystidae sp. SZMB	Eukaryota	outer							Eukaryota	Apicomplexa	Novel	Yes	1	1	0.67544216012788	0.899668210131815	53.1019483771683	1.125
pathogen::Sarcocystidae sp. DSLT	Sarcocystidae sp. DSLT	Eukaryota	outer							Eukaryota	Apicomplexa	Novel	No	1	1	-0.574211445458783	-0.967422459892335	239.308844928892	1.125
pathogen::Toxoplasma sp. LZY	Toxoplasma sp. LZY	Eukaryota	outer							Eukaryota	Apicomplexa	Novel	No	1	1	0.574211445458782	0.967422459892335	59.3088449288924	1.125
pathogen::Eimeriorina sp. RWXLT	Eimeriorina sp. RWXLT	Eukaryota	outer							Eukaryota	Apicomplexa	Novel	No	1	1	1.08577773796024	-0.294468510625415	344.826086308203	1.125
pathogen::Eimeria sp. SZMB	Eimeria sp. SZMB	Eukaryota	outer							Eukaryota	Apicomplexa	Novel	No	1	1	0.853052768950012	0.733434368833856	40.68815527372	1.125
pathogen::Glugea plecoglossi	Glugea plecoglossi	Eukaryota	outer							Eukaryota	Microsporidia	Known	Yes	1	1	-1.04258487790472	-0.422660351067387	202.067465618548	1.125
pathogen::Pseudoloma sp. FJ	Pseudoloma sp. FJ	Eukaryota	outer							Eukaryota	Microsporidia	Novel	No	1	1	1.11125050866505	-0.175349100344608	351.032982859927	1.125
pathogen::Toxocaridae sp. Z	Toxocaridae sp. Z	Eukaryota	outer							Eukaryota	Nematoda	Novel	No	1	1	-0.478484890648255	1.01817346725464	115.17091389441	1.125
pathogen::Toxocara sp. CTSZ	Toxocara sp. CTSZ	Eukaryota	inner							Eukaryota	Nematoda	Novel	Yes	10	8	0.158332183553388	0.335860950995572	64.7597868397383	0.371310730726213
pathogen::Toxocara sp. HBSXST	Toxocara sp. HBSXST	Eukaryota	inner							Eukaryota	Nematoda	Novel	Yes	2	2	-0.656500855326219	0.0678721368157967	174.097463587681	0.66
pathogen::Toxocara sp. LYS	Toxocara sp. LYS	Eukaryota	outer							Eukaryota	Nematoda	Novel	Yes	1	1	-0.248420981336865	1.09722924497647	102.757120790961	1.125
pathogen::Strigeidida sp. FJ	Strigeidida sp. FJ	Eukaryota	outer							Eukaryota	Platyhelminthes	Novel	Yes	1	1	-1.08217082296435	-0.307459444357574	195.860569066823	1.125
pathogen::Taeniidae sp. HBSZ	Taeniidae sp. HBSZ	Eukaryota	inner							Eukaryota	Platyhelminthes	Novel	Yes	3	3	-0.024219603247071	0.108080558127057	102.630661709779	0.110760986933584
pathogen::Taeniidae sp. QLXSDD	Taeniidae sp. QLXSDD	Eukaryota	inner							Eukaryota	Platyhelminthes	Novel	No	4	4	0.457991635395448	0.186088900381071	22.1126480431015	0.494353534363044
pathogen::Taeniidae sp. LZY	Taeniidae sp. LZY	Eukaryota	outer							Eukaryota	Platyhelminthes	Novel	No	1	1	-1.04757521601389	0.410135546854265	158.619189756479	1.125
pathogen::Opisthorchiidae sp. SZMB	Opisthorchiidae sp. SZMB	Eukaryota	outer							Eukaryota	Platyhelminthes	Novel	No	1	1	0.768753933032135	0.821366173181988	46.8950518254441	1.125
pathogen::Hydatigera sp. SDYY	Hydatigera sp. SDYY	Eukaryota	inner							Eukaryota	Platyhelminthes	Novel	No	2	2	0.529012836061407	0.394645941677178	36.7231032417882	0.66
pathogen::Lepeophtheirus sp. SQHN	Lepeophtheirus sp. SQHN	Eukaryota	outer							Eukaryota	Arthropoda	Novel	No	1	1	0.248420981336865	-1.09722924497647	282.757120790961	1.125
pathogen::Caligus sp. RWXLT	Caligus sp. RWXLT	Eukaryota	outer							Eukaryota	Arthropoda	Novel	No	1	1	1.04757521601389	-0.410135546854265	338.619189756479	1.125
