source	target	host_label	host_species	host_class	host_order	pathogen	RPM	log10_RPM_plus1
host::Sa. melanura	pathogen::Photobacterium sp.	Sa. melanura	Sardinella melanura	Actinopteri	Clupeiformes	Photobacterium sp.	2.702156865	0.5684548164051619
host::Th. kammalensis	pathogen::Photobacterium sp.	Th. kammalensis	Thryssa kammalensis	Actinopteri	Clupeiformes	Photobacterium sp.	1.608124087	0.4163282500266707
host::Be. pterotum	pathogen::Photobacterium sp.	Be. pterotum	Benthosema pterotum	Actinopteri	Myctophiformes	Photobacterium sp.	10.334145641000001	1.0543887889192285
host::In. japonica	pathogen::Photobacterium damselae	In. japonica	Inegocia japonica	Actinopteri	Perciformes	Photobacterium damselae	14.52063666	1.190909532144706
host::La. spadiceus	pathogen::Photobacterium damselae	La. spadiceus	Lagocephalus spadiceus	Actinopteri	Tetraodontiformes	Photobacterium damselae	1.195896024	0.3416117723572392
host::Pa. sulcatus	pathogen::Photobacterium damselae	Pa. sulcatus	Paramonacanthus sulcatus	Actinopteri	Tetraodontiformes	Photobacterium damselae	5.304163195	0.7996274471481557
host::Sa. undosquamis	pathogen::Photobacterium sp. QLXSD	Sa. undosquamis	Saurida undosquamis	Actinopteri	Aulopiformes	Photobacterium sp. QLXSD	3.084311603	0.6111188681604816
host::Il. melastoma	pathogen::Photobacterium sp. QLXSD	Il. melastoma	Ilisha melastoma	Actinopteri	Clupeiformes	Photobacterium sp. QLXSD	1.05258471	0.31230108945842616
host::Th. dussumieri	pathogen::Photobacterium swingsii	Th. dussumieri	Thryssa dussumieri	Actinopteri	Clupeiformes	Photobacterium swingsii	1.02073703	0.3055097999820289
host::Pa. sulcatus	pathogen::Photobacterium swingsii	Pa. sulcatus	Paramonacanthus sulcatus	Actinopteri	Tetraodontiformes	Photobacterium swingsii	1.985962972	0.4750844178713296
host::Th. hamiltonii	pathogen::Vibrio sp. Y	Th. hamiltonii	Thryssa hamiltonii	Actinopteri	Clupeiformes	Vibrio sp. Y	2.969720616	0.5987599427331068
host::Pa. sulcatus	pathogen::Vibrio sp. Y	Pa. sulcatus	Paramonacanthus sulcatus	Actinopteri	Tetraodontiformes	Vibrio sp. Y	1.758047081	0.44060167548884543
host::De. ruconius	pathogen::Vibrio ponticus	De. ruconius	Deveximentum ruconius	Actinopteri	Chaetodontiformes	Vibrio ponticus	1.056071791	0.313038274667023
host::Th. hamiltonii	pathogen::Vibrio ponticus	Th. hamiltonii	Thryssa hamiltonii	Actinopteri	Clupeiformes	Vibrio ponticus	5.153902995	0.789150646108993
host::Ar. arius	pathogen::Vibrio ponticus	Ar. arius	Arius arius	Actinopteri	Siluriformes	Vibrio ponticus	2.494855365	0.5434292071254317
host::La. spadiceus	pathogen::Vibrio ponticus	La. spadiceus	Lagocephalus spadiceus	Actinopteri	Tetraodontiformes	Vibrio ponticus	15.289710528	1.2119133668616549
host::Pa. sulcatus	pathogen::Vibrio ponticus	Pa. sulcatus	Paramonacanthus sulcatus	Actinopteri	Tetraodontiformes	Vibrio ponticus	30.090706717	1.4926305940214817
host::Il. melastoma	pathogen::Acinetobacter johnsonii	Il. melastoma	Ilisha melastoma	Actinopteri	Clupeiformes	Acinetobacter johnsonii	3.55145286010277	0.658150049054849
host::Th. kammalensis	pathogen::Acinetobacter johnsonii	Th. kammalensis	Thryssa kammalensis	Actinopteri	Clupeiformes	Acinetobacter johnsonii	10.3798193086293	1.0561353662868003
host::Pa. sulcatus	pathogen::Acinetobacter johnsonii	Pa. sulcatus	Paramonacanthus sulcatus	Actinopteri	Tetraodontiformes	Acinetobacter johnsonii	2.31390212827714	0.5203396779587456
host::Sa. undosquamis	pathogen::Pseudomonas aeruginosa	Sa. undosquamis	Saurida undosquamis	Actinopteri	Aulopiformes	Pseudomonas aeruginosa	5.26856028229636	0.7971678066598292
host::Il. melastoma	pathogen::Besnoitia sp. HKL	Il. melastoma	Ilisha melastoma	Actinopteri	Clupeiformes	Besnoitia sp. HKL	2.134007357	0.49610001162866363
host::Th. kammalensis	pathogen::Cystoisospora_sp._DSLT-2	Th. kammalensis	Thryssa kammalensis	Actinopteri	Clupeiformes	Cystoisospora_sp._DSLT-2	3.862580862	0.6868668364681391
host::Th. dussumieri	pathogen::Cystoisospora sp. DSLT-4	Th. dussumieri	Thryssa dussumieri	Actinopteri	Clupeiformes	Cystoisospora sp. DSLT-4	1.232336679	0.3487596951065348
host::El. tetradactylum	pathogen::Sarcocystidae sp. SZMB	El. tetradactylum	Eleutheronema tetradactylum	Actinopteri	Carangaria incertae sedis	Sarcocystidae sp. SZMB	7.586652659999999	0.9338238955415198
host::Th. kammalensis	pathogen::Sarcocystidae sp. DSLT	Th. kammalensis	Thryssa kammalensis	Actinopteri	Clupeiformes	Sarcocystidae sp. DSLT	1.18326763	0.33910697579526616
host::El. tetradactylum	pathogen::Toxoplasma sp. LZY	El. tetradactylum	Eleutheronema tetradactylum	Actinopteri	Carangaria incertae sedis	Toxoplasma sp. LZY	3.407034189	0.6441464197035761
host::Pa. sulcatus	pathogen::Eimeriorina sp. RWXLT	Pa. sulcatus	Paramonacanthus sulcatus	Actinopteri	Tetraodontiformes	Eimeriorina sp. RWXLT	1.781480045	0.4442759485560222
host::El. tetradactylum	pathogen::Eimeria sp. SZMB	El. tetradactylum	Eleutheronema tetradactylum	Actinopteri	Carangaria incertae sedis	Eimeria sp. SZMB	4.878736848	0.7692840201449647
host::Sa. lemuru	pathogen::Glugea plecoglossi	Sa. lemuru	Sardinella lemuru	Actinopteri	Clupeiformes	Glugea plecoglossi	104.135346771	2.021748751487824
host::Pa. sulcatus	pathogen::Pseudoloma sp. FJ	Pa. sulcatus	Paramonacanthus sulcatus	Actinopteri	Tetraodontiformes	Pseudoloma sp. FJ	1.062634002	0.31442217270740214
host::Mo. cunnesius	pathogen::Toxocaridae sp. Z	Mo. cunnesius	Moolgarda cunnesius	Actinopteri	Mugiliformes	Toxocaridae sp. Z	2.386423846	0.529741313624988
host::Ha. nehereus	pathogen::Toxocara sp. CTSZ	Ha. nehereus	Harpadon nehereus	Actinopteri	Aulopiformes	Toxocara sp. CTSZ	96.396644391	1.988543994377831
host::Sa. elongata	pathogen::Toxocara sp. CTSZ	Sa. elongata	Saurida elongata	Actinopteri	Aulopiformes	Toxocara sp. CTSZ	16.635919291	1.246398102654084
host::Sa. undosquamis	pathogen::Toxocara sp. CTSZ	Sa. undosquamis	Saurida undosquamis	Actinopteri	Aulopiformes	Toxocara sp. CTSZ	18.287001847	1.2852647220709223
