Organ	Input_row	Full_name	Display_name	Abundance	Positive_count	Classification	Known_pathogen
Spleen	13	Toxocara sp. LYS	Toxocara sp. LYS	1.59941195991007	2	Eukaryota	FALSE
Spleen	14	Johnius belangerii hepacivirus	Johnius belangerii hepacivirus	1.20868737584102	1	RNA virus	FALSE
Spleen	15	Paramonacanthus sulcatus filovirus	Para. sulcatus filovirus	0.393534826043654	1	RNA virus	TRUE
Spleen	16	Nanhai filovirus 1	Nanhai filovirus 1	0.788685801357297	1	RNA virus	FALSE
Spleen	17	Psenopsis anomala artervirus	Psenopsis anomala artervirus	1.34685386718866	1	RNA virus	FALSE
Spleen	18	Arius arius calicivirus	Arius arius calicivirus	1.14403405157994	1	RNA virus	FALSE
Spleen	19	Thryssa dussumieri picornavirus	Thryssa dussumieri picornavirus	0.466073897923334	1	RNA virus	FALSE
Spleen	20	Micropterus salmoides reovirus	Micropterus salmoides reovirus	0.882641671699335	1	RNA virus	TRUE
Spleen	21	Wenzhou pacific spadenose shark reovirus 2	Wenzhou ps shark reovirus 2	1.88106874566582	1	RNA virus	TRUE
Spleen	22	Nanhai reo-like virus 1	Nanhai reo-like virus 1	0.754042727349915	1	RNA virus	FALSE
Spleen	23	Nanhai circo-like virus 2	Nanhai circo-like virus 2	0.398060560252032	1	DNA virus	FALSE
Spleen	24	Nanhai papillomavirus ZBTTT	Nanhai papillomavirus ZBTTT	0.398499096549634	1	DNA virus	FALSE
Spleen	25	Nanhai retrovirus 2	Nanhai retrovirus 2	2.27514025397322	1	RNA virus	FALSE
Spleen	26	Photobacterium sp.	Photobacterium sp.	0.313780670558767	1	Bacteria	FALSE
Spleen	27	Photobacterium damselae	Photobacterium damselae	0.663796097049779	1	Bacteria	TRUE
Spleen	28	Cystoisospora sp. DSLT-2	Cystoisospora sp. DSLT-2	0.686866836468139	1	Eukaryota	FALSE
Spleen	29	Sarcocystidae sp. SZMB	Sarcocystidae sp. SZMB	0.620415166418006	1	Eukaryota	FALSE
Spleen	30	Glugea plecoglossi	Glugea plecoglossi	0.973480504284911	1	Eukaryota	TRUE
Spleen	31	Toxocara sp. HBSXST	Toxocara sp. HBSXST	1.03086139661057	1	Eukaryota	FALSE
